publisher_name,publisher_start_up_date,game_name,price,game_release_date
Galactic Studios,2019-06-25,Alien Onslaught,49.99,2023-11-15
Nebula Innovations,2020-03-12,Starlight Frontier,59.99,2024-08-20
Cosmic Creations,2018-10-30,Space Odyssey,39.99,2022-09-05
Quantum Games,2021-08-15,Quantum Shift,44.99,2023-12-10
Starlight Studios,2022-02-28,Stellar Quest,54.99,2024-06-30
AstroTech Entertainment,2019-04-18,AstroBlasters,64.99,2023-10-25
Nova Entertainment,2020-11-05,Nova Rift,49.99,2022-07-15
Galaxy Games,2018-07-20,Galactic Heroes,59.99,2023-04-18
Nebula Studios,2021-01-10,Nebula Nexus,54.99,2024-02-05
CosmoByte Studios,2017-12-05,CosmoBlitz,39.99,2023-05-20
StarForge Entertainment,2019-09-30,StarForge Odyssey,69.99,2022-11-30
AstroNova Games,2020-06-15,Astro Siege,49.99,2024-01-15
Nebula Dynamics,2018-04-25,Neptune's Quest,59.99,2023-08-10
Quantum Dynamics,2021-03-08,Quantum Conquest,54.99,2024-04-20
Galaxy Innovations,2019-01-20,Galactic Warfare,44.99,2022-12-28
Stellar Games,2020-10-10,Stellar Strike,49.99,2023-07-05
Cosmic Adventures,2018-11-15,Cosmic Clash,39.99,2024-03-15
StarCrest Studios,2021-07-22,StarCrest Odyssey,64.99,2022-10-20
AstroByte Entertainment,2018-08-30,Astro Adventure,59.99,2023-06-18
NebulaTech Games,2020-05-12,Nebula's End,54.99,2024-05-10
Galactic Innovations,2017-10-02,Galactic Conquest,49.99,2023-02-28
SpaceWarp Studios,2021-05-08,SpaceWarp Chronicles,44.99,2024-07-20
NovaTech Entertainment,2019-03-25,Nova's Destiny,69.99,2022-09-30
Cosmic Forge,2020-12-15,Cosmic Rift,59.99,2023-12-05
Galactic Studios,2019-06-25,Starlight Odyssey,59.99,2024-05-15
Nebula Innovations,2020-03-12,AstroVenture,49.99,2023-11-20
Cosmic Creations,2018-10-30,Space Explorers,44.99,2024-08-10
Quantum Games,2021-08-15,Quantum Chronicles,54.99,2022-10-25
Starlight Studios,2022-02-28,Stellar Conquest,64.99,2023-06-30
AstroTech Entertainment,2019-04-18,Astro Assault,69.99,2024-01-25
Nova Entertainment,2020-11-05,Nova's Frontier,59.99,2023-09-15
Galaxy Games,2018-07-20,Galactic Defender,49.99,2022-06-18
Nebula Studios,2021-01-10,Nebula Odyssey,54.99,2024-04-05
CosmoByte Studios,2017-12-05,Cosmic Quest,39.99,2023-04-20
StarForge Entertainment,2019-09-30,StarForge Conquest,74.99,2022-12-15
AstroNova Games,2020-06-15,Astro Assault,49.99,2024-03-15
Nebula Dynamics,2018-04-25,Neptune's Odyssey,64.99,2023-08-28
Quantum Dynamics,2021-03-08,Quantum Warfare,59.99,2024-06-20
Galaxy Innovations,2019-01-20,Galactic Explorers,44.99,2022-12-05
Stellar Games,2020-10-10,Stellar Odyssey,49.99,2023-07-20
Cosmic Adventures,2018-11-15,Cosmic Conquest,39.99,2024-02-25
StarCrest Studios,2021-07-22,StarCrest Conquest,64.99,2022-09-10
AstroByte Entertainment,2018-08-30,Astro Expedition,54.99,2023-07-18
NebulaTech Games,2020-05-12,Nebula Quest,59.99,2024-05-30
Galactic Innovations,2017-10-02,Galactic Odyssey,49.99,2023-03-10
SpaceWarp Studios,2021-05-08,SpaceWarp Odyssey,44.99,2024-08-28
NovaTech Entertainment,2019-03-25,Nova's Legacy,74.99,2022-10-15
Cosmic Forge,2020-12-15,Cosmic Adventures,64.99,2023-11-05
NebulaNova Games,2018-09-10,NebulaNova Odyssey,59.99,2023-12-10
StellarTech Entertainment,2022-01-05,StellarTech Odyssey,69.99,2024-09-20
Galactic Studios,2019-06-25,Interstellar Odyssey,59.99,2024-06-15
Galactic Studios,2019-06-25,Starlight Odyssey,49.99,2023-10-20
Galactic Studios,2019-06-25,Alien Onslaught,44.99,2024-07-10
Nebula Innovations,2020-03-12,Galactic Nexus,54.99,2022-11-25
Cosmic Creations,2018-10-30,Cosmic Clash,64.99,2023-05-30
Cosmic Creations,2018-10-30,Astro Assault,69.99,2024-02-25
Cosmic Creations,2018-10-30,Cosmic Quest,59.99,2023-12-15
Quantum Games,2021-08-15,Quantum Shift,49.99,2022-08-18
Quantum Games,2021-08-15,Quantum Warfare,54.99,2024-03-05
Starlight Studios,2022-02-28,Stellar Conquest,39.99,2023-06-20
AstroTech Entertainment,2019-04-18,AstroBlasters,74.99,2022-10-15
AstroTech Entertainment,2019-04-18,Astro Siege,49.99,2024-04-15
AstroNova Games,2020-06-15,Nova Odyssey,64.99,2023-09-28
Nebula Dynamics,2018-04-25,Neptune's Quest,59.99,2024-05-20
Galaxy Innovations,2019-01-20,Galactic Odyssey,44.99,2023-01-05
Galaxy Innovations,2019-01-20,Space Explorer,49.99,2022-06-15
Stellar Games,2020-10-10,Stellar Strike,54.99,2023-11-20
Stellar Games,2020-10-10,Stellar Invasion,59.99,2024-07-10
